Internship_ID,Company,Role,Sector,Location,Stipend(INR),Duration(Months),Required_Skills,Mode,Openings,Education_Requirement,Experience_Level
INT0467,TCS,Software Engineer Intern,Software Development,Kolkata,12000,4,"C++, Python",Remote,3,Bachelor,Fresher
INT0468,Wipro,Cloud Intern,Cloud Computing,Pune,15000,2,"Cloud, Azure, GCP, Terraform",Onsite,5,Bachelor,Fresher
INT0469,IBM,Data Analyst Intern,Data Science,Pune,5000,4,"Python, Pandas",Hybrid,3,Bachelor,Fresher
INT0470,Oracle,Cybersecurity Intern,Cybersecurity,Chennai,8000,6,"Network Security, Cybersecurity, Wireshark",Onsite,7,Bachelor,1-2 Years
INT0471,Infosys,Software Engineer Intern,Software Development,Delhi,20000,6,"Git, Python, Data Structures",Remote,1,Bachelor,Fresher
INT0472,Oracle,AI Research Intern,AI/ML,Hyderabad,15000,6,"Deep Learning, PyTorch, NLP",Onsite,3,Bachelor,Fresher
INT0473,Wipro,UI/UX Intern,UI/UX,Pune,10000,3,"UI/UX, Figma, Prototyping, User Research",Onsite,5,Bachelor,Fresher
INT0474,Oracle,UI/UX Intern,UI/UX,Bangalore,12000,6,"UI/UX, Figma, Design Thinking",Onsite,7,Bachelor,Fresher
INT0475,HCL,Business Analyst Intern,Business Analytics,Chennai,10000,2,"Communication, Requirements Gathering, Business Analytics, SQL",Remote,9,High School,Fresher
INT0476,Oracle,Business Analyst Intern,Business Analytics,Remote,5000,4,"Excel, Requirements Gathering",Onsite,8,Bachelor,Fresher
INT0477,Amazon,Cybersecurity Intern,Cybersecurity,Remote,12000,4,"Python, Network Security, Linux",Onsite,2,Bachelor,Fresher
INT0478,TCS,Cybersecurity Intern,Cybersecurity,Mumbai,15000,1,"Penetration Testing, Wireshark, Network Security",Onsite,2,Bachelor,Fresher
INT0479,Oracle,UI/UX Intern,UI/UX,Remote,8000,5,"User Research, HTML/CSS/JS, Design Thinking",Onsite,3,Bachelor,Fresher
INT0480,Wipro,DevOps Intern,DevOps,Remote,15000,2,"Jenkins, Docker, Python",Onsite,2,Bachelor,Fresher
INT0481,Google,UI/UX Intern,UI/UX,Kolkata,10000,4,"User Research, Figma",Onsite,2,Bachelor,Fresher
INT0482,Oracle,Software Engineer Intern,Software Development,Hyderabad,20000,6,"Linux, Java",Remote,3,Bachelor,Fresher
INT0483,Microsoft,Business Analyst Intern,Business Analytics,Kolkata,10000,5,"SQL, Communication, Business Analytics",Remote,5,Diploma,1-2 Years
INT0484,Google,Business Analyst Intern,Business Analytics,Mumbai,12000,2,"Power BI, Communication",Hybrid,1,High School,2-4 Years
INT0485,Accenture,UI/UX Intern,UI/UX,Mumbai,8000,4,"UI/UX, Prototyping, Design Thinking",Remote,7,Diploma,Fresher
INT0486,Amazon,UI/UX Intern,UI/UX,Mumbai,12000,2,"Design Thinking, Figma",Onsite,7,Diploma,Fresher
INT0487,Accenture,Web Developer Intern,Web Development,Hyderabad,8000,6,"HTML/CSS/JS, SQL",Hybrid,7,Bachelor,Fresher
INT0488,Oracle,ML Engineer Intern,AI/ML,Kolkata,20000,4,"PyTorch, TensorFlow, Machine Learning, Model Deployment",Remote,8,Bachelor,Fresher
INT0489,Microsoft,Data Analyst Intern,Data Science,Bangalore,12000,5,"Pandas, Power BI, SQL, Excel",Remote,1,Bachelor,Fresher
INT0490,Microsoft,Business Analyst Intern,Business Analytics,Chennai,10000,4,"Communication, Excel, SQL",Remote,9,Bachelor,Fresher
INT0491,TCS,UI/UX Intern,UI/UX,Mumbai,5000,4,"Prototyping, HTML/CSS/JS, UI/UX, Figma",Onsite,8,Bachelor,2-4 Years
INT0492,Amazon,Cybersecurity Intern,Cybersecurity,Delhi,15000,3,"Cybersecurity, Penetration Testing",Remote,10,Bachelor,Fresher
INT0493,Amazon,Business Analyst Intern,Business Analytics,Chennai,5000,3,"Communication, Business Analytics",Onsite,3,Diploma,Fresher
INT0494,Amazon,Business Analyst Intern,Business Analytics,Hyderabad,5000,5,"Business Analytics, Communication, Excel",Onsite,10,Bachelor,Fresher
INT0495,Accenture,Cybersecurity Intern,Cybersecurity,Hyderabad,8000,3,"Network Security, Python, Wireshark, Linux",Hybrid,3,Diploma,Fresher
INT0496,Microsoft,DevOps Intern,DevOps,Mumbai,15000,6,"Linux, Kubernetes",Onsite,10,Bachelor,Fresher
INT0497,HCL,Data Analyst Intern,Data Science,Pune,12000,3,"Pandas, Statistics",Onsite,9,Bachelor,Fresher
INT0498,Google,Cybersecurity Intern,Cybersecurity,Kolkata,8000,3,"Penetration Testing, Python",Hybrid,8,Bachelor,2-4 Years
INT0499,Infosys,Software Engineer Intern,Software Development,Delhi,12000,3,"Data Structures, C++, Git, Linux",Onsite,2,Bachelor,Fresher
INT0500,Microsoft,Business Analyst Intern,Business Analytics,Chennai,8000,3,"Power BI, Business Analytics",Remote,1,Bachelor,Fresher
INT0501,Infosys,ML Engineer Intern,AI/ML,Bangalore,10000,1,"Machine Learning, Deep Learning, PyTorch",Onsite,2,Master,Fresher
INT0502,TCS,Business Analyst Intern,Business Analytics,Hyderabad,8000,4,"Excel, Communication, Power BI, Business Analytics",Remote,10,Diploma,Fresher
INT0503,Google,Cybersecurity Intern,Cybersecurity,Delhi,12000,4,"Wireshark, Cybersecurity, Python",Remote,6,Bachelor,Fresher
INT0504,HCL,DevOps Intern,DevOps,Pune,12000,2,"Docker, DevOps, Python",Onsite,8,Bachelor,Fresher
INT0505,Oracle,Software Engineer Intern,Software Development,Delhi,10000,5,"Algorithms, Git",Remote,8,Bachelor,Fresher
INT0506,Accenture,Cybersecurity Intern,Cybersecurity,Kolkata,15000,6,"Cybersecurity, Python, Network Security",Onsite,1,Bachelor,Fresher
INT0507,HCL,Business Analyst Intern,Business Analytics,Pune,12000,4,"Power BI, Requirements Gathering",Onsite,2,Bachelor,2-4 Years
INT0508,Microsoft,Software Engineer Intern,Software Development,Mumbai,15000,1,"Algorithms, C++, Data Structures, Linux",Remote,2,Bachelor,2-4 Years
INT0509,Wipro,ML Engineer Intern,AI/ML,Delhi,20000,1,"Model Deployment, Machine Learning, PyTorch",Hybrid,4,Bachelor,1-2 Years
INT0510,HCL,ML Engineer Intern,AI/ML,Bangalore,20000,2,"Model Deployment, TensorFlow",Onsite,4,Master,Fresher
INT0511,Google,DevOps Intern,DevOps,Bangalore,15000,3,"Python, Jenkins",Onsite,8,Bachelor,Fresher
INT0512,Microsoft,DevOps Intern,DevOps,Hyderabad,15000,5,"CI/CD, Linux",Onsite,9,Diploma,Fresher
INT0513,TCS,Data Analyst Intern,Data Science,Bangalore,5000,2,"SQL, Pandas, Python, Power BI",Remote,3,Bachelor,Fresher
INT0514,Wipro,Software Engineer Intern,Software Development,Pune,8000,1,"Algorithms, Java, Linux",Onsite,10,Bachelor,Fresher
INT0515,Microsoft,DevOps Intern,DevOps,Bangalore,15000,2,"DevOps, Linux, Jenkins",Onsite,4,Bachelor,Fresher
INT0516,Microsoft,Cybersecurity Intern,Cybersecurity,Pune,15000,3,"Python, Network Security",Remote,8,High School,Fresher
INT0517,HCL,Business Analyst Intern,Business Analytics,Delhi,5000,1,"SQL, Excel, Requirements Gathering",Onsite,2,Bachelor,1-2 Years
INT0518,Oracle,Web Developer Intern,Web Development,Bangalore,12000,4,"React, Node.js",Onsite,3,Bachelor,Fresher
INT0519,IBM,Software Engineer Intern,Software Development,Chennai,8000,5,"Linux, C++, Data Structures, Git",Onsite,2,Bachelor,1-2 Years
INT0520,Google,UI/UX Intern,UI/UX,Remote,10000,1,"User Research, Figma",Onsite,3,Bachelor,Fresher
INT0521,IBM,Data Analyst Intern,Data Science,Bangalore,10000,3,"Excel, Statistics, SQL, Pandas",Remote,8,Bachelor,Fresher
INT0522,Wipro,Web Developer Intern,Web Development,Mumbai,5000,1,"HTML/CSS/JS, Bootstrap",Hybrid,8,Bachelor,Fresher
INT0523,Oracle,AI Research Intern,AI/ML,Kolkata,10000,2,"Deep Learning, Machine Learning",Remote,4,Master,Fresher
INT0524,Wipro,ML Engineer Intern,AI/ML,Mumbai,10000,5,"TensorFlow, Machine Learning",Onsite,7,Bachelor,Fresher
INT0525,Accenture,Cybersecurity Intern,Cybersecurity,Hyderabad,8000,6,"Linux, Network Security",Remote,5,Bachelor,Fresher
INT0526,Infosys,Web Developer Intern,Web Development,Chennai,8000,5,"React, Node.js, SQL",Hybrid,4,Bachelor,Fresher
INT0527,Oracle,Business Analyst Intern,Business Analytics,Mumbai,12000,6,"Requirements Gathering, Business Analytics, Excel",Hybrid,4,Bachelor,Fresher
INT0528,Microsoft,Web Developer Intern,Web Development,Kolkata,12000,6,"HTML/CSS/JS, Bootstrap, SQL, REST APIs",Remote,1,Bachelor,Fresher
INT0529,Microsoft,ML Engineer Intern,AI/ML,Hyderabad,20000,6,"Machine Learning, Python, PyTorch",Onsite,4,Bachelor,Fresher
INT0530,Accenture,Data Analyst Intern,Data Science,Remote,12000,5,"Power BI, Excel, SQL",Remote,1,Bachelor,Fresher
INT0531,Oracle,Web Developer Intern,Web Development,Bangalore,5000,4,"SQL, Bootstrap, HTML/CSS/JS",Hybrid,6,Bachelor,Fresher
INT0532,Oracle,UI/UX Intern,UI/UX,Bangalore,5000,5,"Figma, UI/UX, Prototyping, User Research",Hybrid,6,Bachelor,Fresher
INT0533,Microsoft,Data Analyst Intern,Data Science,Hyderabad,5000,5,"Excel, SQL, Tableau",Remote,4,Diploma,Fresher
INT0534,HCL,ML Engineer Intern,AI/ML,Delhi,15000,3,"PyTorch, Machine Learning, Model Deployment, TensorFlow",Remote,7,Bachelor,Fresher
INT0535,Microsoft,ML Engineer Intern,AI/ML,Remote,20000,6,"PyTorch, Python, TensorFlow, Deep Learning",Remote,5,Bachelor,Fresher
INT0536,Amazon,AI Research Intern,AI/ML,Chennai,10000,3,"Python, NLP, TensorFlow",Hybrid,2,Bachelor,Fresher
INT0537,Google,ML Engineer Intern,AI/ML,Hyderabad,20000,1,"Machine Learning, PyTorch",Onsite,9,Bachelor,Fresher
INT0538,HCL,Cybersecurity Intern,Cybersecurity,Mumbai,8000,5,"Cybersecurity, Wireshark",Remote,7,Bachelor,Fresher
INT0539,Wipro,Business Analyst Intern,Business Analytics,Hyderabad,10000,5,"Communication, Power BI, Requirements Gathering, SQL",Onsite,5,Diploma,Fresher
INT0540,Amazon,Cybersecurity Intern,Cybersecurity,Hyderabad,12000,4,"Network Security, Linux",Hybrid,10,Diploma,Fresher
INT0541,Google,Web Developer Intern,Web Development,Delhi,5000,3,"React, HTML/CSS/JS",Remote,8,Bachelor,Fresher
INT0542,Amazon,Cloud Intern,Cloud Computing,Bangalore,20000,2,"AWS, Azure, GCP",Remote,2,Bachelor,Fresher
INT0543,HCL,ML Engineer Intern,AI/ML,Hyderabad,20000,6,"Machine Learning, Python, Deep Learning",Onsite,5,Master,Fresher
INT0544,HCL,Cloud Intern,Cloud Computing,Bangalore,10000,6,"Cloud, Kubernetes, GCP, Terraform",Remote,5,Bachelor,1-2 Years
INT0545,Infosys,Cloud Intern,Cloud Computing,Pune,20000,6,"Azure, Cloud",Onsite,9,Master,Fresher
INT0546,Google,Data Analyst Intern,Data Science,Mumbai,5000,5,"Tableau, Pandas",Onsite,8,Bachelor,Fresher
INT0547,IBM,Cloud Intern,Cloud Computing,Mumbai,15000,4,"AWS, Kubernetes, GCP",Onsite,5,Bachelor,2-4 Years
INT0548,Microsoft,Software Engineer Intern,Software Development,Kolkata,15000,4,"Data Structures, Git",Onsite,7,Bachelor,Fresher
INT0549,TCS,Web Developer Intern,Web Development,Kolkata,10000,1,"Node.js, Bootstrap",Hybrid,10,Bachelor,Fresher
INT0550,IBM,DevOps Intern,DevOps,Pune,15000,5,"Jenkins, Kubernetes",Remote,3,Bachelor,Fresher
INT0551,TCS,ML Engineer Intern,AI/ML,Pune,15000,4,"Deep Learning, PyTorch",Remote,8,Bachelor,Fresher
INT0552,HCL,Cybersecurity Intern,Cybersecurity,Pune,15000,3,"Wireshark, Python, Cybersecurity, Linux",Onsite,8,Bachelor,Fresher
INT0553,Google,Software Engineer Intern,Software Development,Chennai,20000,4,"Data Structures, C++, Algorithms, Git",Hybrid,8,Bachelor,Fresher
INT0554,Accenture,Cybersecurity Intern,Cybersecurity,Mumbai,8000,3,"Penetration Testing, Cybersecurity",Onsite,3,Bachelor,Fresher
INT0555,Microsoft,Cloud Intern,Cloud Computing,Pune,20000,6,"Azure, Terraform",Hybrid,9,Master,Fresher
INT0556,Amazon,Business Analyst Intern,Business Analytics,Mumbai,10000,6,"Power BI, Business Analytics",Remote,5,Bachelor,Fresher
INT0557,Infosys,Data Analyst Intern,Data Science,Chennai,10000,4,"Tableau, Excel",Onsite,3,Bachelor,Fresher
INT0558,Wipro,UI/UX Intern,UI/UX,Bangalore,12000,1,"Design Thinking, HTML/CSS/JS, UI/UX, Figma",Onsite,3,Bachelor,Fresher
INT0559,Infosys,Web Developer Intern,Web Development,Pune,8000,6,"REST APIs, SQL, Node.js",Onsite,2,Bachelor,Fresher
INT0560,Accenture,Cybersecurity Intern,Cybersecurity,Chennai,8000,4,"Network Security, Wireshark",Remote,2,Bachelor,Fresher
INT0561,Microsoft,Data Analyst Intern,Data Science,Bangalore,5000,4,"Python, Statistics",Onsite,5,Bachelor,Fresher
INT0562,Oracle,Software Engineer Intern,Software Development,Mumbai,12000,1,"Java, Algorithms, Linux, Data Structures",Onsite,5,Bachelor,1-2 Years
INT0563,Google,AI Research Intern,AI/ML,Delhi,10000,5,"PyTorch, Python, NLP, Deep Learning",Onsite,4,Bachelor,Fresher
INT0564,Wipro,Software Engineer Intern,Software Development,Remote,15000,3,"Algorithms, Data Structures",Remote,3,Bachelor,Fresher
INT0565,HCL,DevOps Intern,DevOps,Chennai,12000,1,"CI/CD, Jenkins, Python",Remote,6,Bachelor,Fresher
INT0566,HCL,Cloud Intern,Cloud Computing,Remote,15000,4,"Azure, Docker, Cloud, Kubernetes",Onsite,5,Bachelor,Fresher
INT0567,Microsoft,AI Research Intern,AI/ML,Hyderabad,10000,4,"TensorFlow, Deep Learning, NLP, Python",Hybrid,6,Bachelor,Fresher
INT0568,Amazon,DevOps Intern,DevOps,Chennai,8000,2,"Jenkins, Linux, DevOps",Onsite,10,Diploma,1-2 Years
INT0569,Oracle,Software Engineer Intern,Software Development,Remote,20000,4,"Java, C++, Linux",Onsite,7,Bachelor,Fresher
INT0570,HCL,Business Analyst Intern,Business Analytics,Remote,12000,6,"Communication, Requirements Gathering, Business Analytics",Remote,7,Bachelor,Fresher
INT0571,Microsoft,Software Engineer Intern,Software Development,Bangalore,15000,2,"C++, Git",Remote,3,Bachelor,Fresher
INT0572,IBM,ML Engineer Intern,AI/ML,Chennai,20000,3,"Python, Machine Learning, TensorFlow, Deep Learning",Onsite,10,Master,Fresher
INT0573,Accenture,ML Engineer Intern,AI/ML,Bangalore,15000,5,"Machine Learning, Deep Learning, TensorFlow",Onsite,6,Diploma,Fresher
INT0574,Accenture,Software Engineer Intern,Software Development,Delhi,15000,4,"Git, C++, Linux",Onsite,3,Diploma,Fresher
INT0575,IBM,Web Developer Intern,Web Development,Remote,5000,5,"SQL, Bootstrap, REST APIs",Remote,9,Bachelor,1-2 Years
INT0576,Amazon,Data Analyst Intern,Data Science,Mumbai,12000,5,"Excel, Pandas, Tableau",Remote,5,Bachelor,Fresher
INT0577,Wipro,Cloud Intern,Cloud Computing,Kolkata,10000,6,"Terraform, Kubernetes, Docker",Onsite,2,Bachelor,Fresher
INT0578,Wipro,Data Analyst Intern,Data Science,Chennai,5000,6,"SQL, Statistics, Power BI, Excel",Onsite,5,Bachelor,Fresher
INT0579,Accenture,Data Analyst Intern,Data Science,Bangalore,12000,3,"Power BI, Pandas, Tableau",Onsite,8,Diploma,Fresher
INT0580,Accenture,Cloud Intern,Cloud Computing,Hyderabad,15000,4,"Cloud, GCP, Terraform, AWS",Remote,6,Bachelor,Fresher
INT0581,Microsoft,AI Research Intern,AI/ML,Kolkata,15000,3,"NLP, Python, Machine Learning",Onsite,10,Master,Fresher
INT0582,Microsoft,Business Analyst Intern,Business Analytics,Remote,10000,1,"Power BI, Business Analytics",Remote,9,Bachelor,Fresher
INT0583,Google,Cybersecurity Intern,Cybersecurity,Remote,12000,4,"Linux, Python, Wireshark, Cybersecurity",Onsite,9,Bachelor,Fresher
INT0584,Oracle,UI/UX Intern,UI/UX,Delhi,8000,6,"HTML/CSS/JS, User Research",Hybrid,8,High School,Fresher
INT0585,Microsoft,DevOps Intern,DevOps,Delhi,12000,4,"Linux, Python, DevOps, CI/CD",Onsite,3,Diploma,Fresher
INT0586,Infosys,AI Research Intern,AI/ML,Pune,15000,6,"Deep Learning, NLP, Machine Learning",Remote,7,Bachelor,Fresher
INT0587,TCS,Cybersecurity Intern,Cybersecurity,Hyderabad,12000,6,"Python, Penetration Testing, Wireshark",Hybrid,4,Bachelor,Fresher
INT0588,Accenture,UI/UX Intern,UI/UX,Mumbai,12000,1,"Design Thinking, UI/UX",Onsite,2,Bachelor,1-2 Years
INT0589,IBM,Cloud Intern,Cloud Computing,Chennai,10000,1,"Kubernetes, Cloud, GCP, AWS",Remote,9,Bachelor,1-2 Years
INT0590,Microsoft,Cybersecurity Intern,Cybersecurity,Pune,12000,3,"Cybersecurity, Network Security, Wireshark",Remote,7,High School,Fresher
INT0591,Microsoft,Web Developer Intern,Web Development,Remote,12000,3,"Node.js, Bootstrap",Hybrid,1,Bachelor,Fresher
INT0592,Oracle,Cloud Intern,Cloud Computing,Delhi,10000,3,"GCP, Terraform, AWS, Azure",Onsite,6,Bachelor,2-4 Years
INT0593,HCL,Data Analyst Intern,Data Science,Chennai,12000,3,"Power BI, Python, SQL, Excel",Remote,6,Bachelor,Fresher
INT0594,HCL,DevOps Intern,DevOps,Delhi,12000,1,"Kubernetes, Docker",Hybrid,4,Bachelor,1-2 Years
INT0595,Amazon,Cloud Intern,Cloud Computing,Kolkata,15000,4,"GCP, Cloud, Azure, Kubernetes",Remote,6,Master,1-2 Years
INT0596,Amazon,Cybersecurity Intern,Cybersecurity,Bangalore,15000,5,"Cybersecurity, Linux, Python, Penetration Testing",Remote,8,Diploma,Fresher
INT0597,Amazon,ML Engineer Intern,AI/ML,Chennai,20000,3,"Machine Learning, Python, TensorFlow, PyTorch",Onsite,2,Bachelor,Fresher
INT0598,Accenture,Business Analyst Intern,Business Analytics,Mumbai,8000,3,"Requirements Gathering, Business Analytics, Communication, SQL",Onsite,10,Diploma,Fresher
INT0599,Infosys,Cloud Intern,Cloud Computing,Pune,20000,2,"GCP, Terraform",Onsite,1,Master,2-4 Years
INT0600,Google,Cybersecurity Intern,Cybersecurity,Mumbai,12000,5,"Network Security, Cybersecurity, Python, Linux",Onsite,2,Bachelor,Fresher
INT0601,Accenture,UI/UX Intern,UI/UX,Delhi,8000,6,"User Research, Design Thinking, UI/UX",Onsite,5,Diploma,Fresher
INT0602,HCL,AI Research Intern,AI/ML,Delhi,10000,4,"Machine Learning, Deep Learning, NLP, TensorFlow",Remote,1,Diploma,Fresher
INT0603,Accenture,AI Research Intern,AI/ML,Kolkata,10000,4,"PyTorch, TensorFlow, Python",Onsite,6,Bachelor,Fresher
INT0604,Oracle,Business Analyst Intern,Business Analytics,Mumbai,5000,3,"Excel, Communication, Power BI",Hybrid,8,High School,1-2 Years
INT0605,Oracle,Data Analyst Intern,Data Science,Hyderabad,12000,3,"Excel, Tableau",Hybrid,6,Diploma,Fresher
INT0606,Google,Web Developer Intern,Web Development,Kolkata,10000,4,"React, REST APIs, Bootstrap",Onsite,6,Bachelor,Fresher
INT0607,HCL,Web Developer Intern,Web Development,Mumbai,10000,3,"Node.js, SQL, Bootstrap",Remote,5,Bachelor,Fresher
INT0608,Accenture,Web Developer Intern,Web Development,Remote,8000,1,"SQL, Bootstrap, HTML/CSS/JS, REST APIs",Onsite,1,Bachelor,Fresher
INT0609,TCS,Software Engineer Intern,Software Development,Hyderabad,20000,4,"Python, Git, C++",Onsite,2,Bachelor,Fresher
INT0610,IBM,Web Developer Intern,Web Development,Pune,10000,5,"SQL, REST APIs",Hybrid,10,Bachelor,2-4 Years
INT0611,Microsoft,Business Analyst Intern,Business Analytics,Bangalore,8000,4,"Requirements Gathering, Excel",Remote,6,Bachelor,2-4 Years
INT0612,Google,DevOps Intern,DevOps,Remote,8000,1,"Jenkins, DevOps, Docker",Onsite,8,Bachelor,Fresher
INT0613,TCS,Cloud Intern,Cloud Computing,Hyderabad,15000,3,"Kubernetes, Docker",Hybrid,10,Bachelor,Fresher
INT0614,Accenture,Cloud Intern,Cloud Computing,Delhi,20000,5,"Kubernetes, Cloud",Onsite,7,Bachelor,2-4 Years
INT0615,Accenture,Software Engineer Intern,Software Development,Hyderabad,10000,4,"Linux, Java",Remote,5,Bachelor,Fresher
INT0616,Oracle,Cybersecurity Intern,Cybersecurity,Remote,8000,3,"Penetration Testing, Network Security, Linux, Python",Remote,8,Diploma,Fresher
INT0617,Infosys,Business Analyst Intern,Business Analytics,Bangalore,8000,4,"Excel, Requirements Gathering, Business Analytics",Remote,2,Bachelor,2-4 Years
INT0618,TCS,Web Developer Intern,Web Development,Delhi,10000,4,"REST APIs, SQL, HTML/CSS/JS",Onsite,8,Bachelor,Fresher
INT0619,Oracle,AI Research Intern,AI/ML,Kolkata,10000,1,"TensorFlow, Deep Learning, Python, PyTorch",Remote,9,Bachelor,Fresher
INT0620,Google,Cybersecurity Intern,Cybersecurity,Hyderabad,15000,1,"Linux, Penetration Testing, Cybersecurity",Onsite,8,Diploma,1-2 Years
INT0621,Amazon,Software Engineer Intern,Software Development,Delhi,20000,6,"Data Structures, C++, Linux",Onsite,8,Bachelor,1-2 Years
INT0622,Amazon,AI Research Intern,AI/ML,Bangalore,15000,6,"Python, PyTorch",Onsite,9,Bachelor,Fresher
INT0623,Accenture,ML Engineer Intern,AI/ML,Mumbai,15000,5,"Model Deployment, TensorFlow, PyTorch",Remote,10,Bachelor,2-4 Years
INT0624,Amazon,Cybersecurity Intern,Cybersecurity,Pune,8000,2,"Network Security, Wireshark",Onsite,1,Diploma,Fresher
INT0625,Amazon,AI Research Intern,AI/ML,Remote,10000,3,"NLP, PyTorch, Machine Learning",Remote,3,Bachelor,Fresher
INT0626,Accenture,ML Engineer Intern,AI/ML,Kolkata,20000,2,"TensorFlow, Python, Model Deployment",Onsite,10,Bachelor,Fresher
INT0627,Oracle,DevOps Intern,DevOps,Remote,15000,5,"Linux, Jenkins, Python",Hybrid,1,Bachelor,Fresher
INT0628,HCL,ML Engineer Intern,AI/ML,Chennai,20000,1,"Model Deployment, Python",Onsite,6,Bachelor,Fresher
INT0629,HCL,Software Engineer Intern,Software Development,Delhi,15000,6,"Algorithms, Data Structures, C++",Onsite,3,Diploma,Fresher
INT0630,Wipro,AI Research Intern,AI/ML,Kolkata,20000,6,"Machine Learning, PyTorch, Deep Learning, TensorFlow",Onsite,5,Diploma,1-2 Years
INT0631,HCL,ML Engineer Intern,AI/ML,Hyderabad,15000,6,"PyTorch, Machine Learning",Remote,8,Bachelor,Fresher
INT0632,Amazon,Software Engineer Intern,Software Development,Mumbai,10000,5,"Git, C++, Java",Onsite,1,Diploma,Fresher
INT0633,Wipro,Web Developer Intern,Web Development,Pune,5000,5,"HTML/CSS/JS, SQL, Node.js, React",Onsite,9,Bachelor,2-4 Years
INT0634,Microsoft,Data Analyst Intern,Data Science,Chennai,5000,4,"Excel, SQL, Tableau, Python",Remote,2,Master,Fresher
INT0635,HCL,UI/UX Intern,UI/UX,Mumbai,8000,6,"HTML/CSS/JS, UI/UX",Onsite,4,Bachelor,Fresher
INT0636,Google,UI/UX Intern,UI/UX,Pune,10000,3,"Design Thinking, UI/UX, Figma",Remote,2,Bachelor,Fresher
INT0637,IBM,AI Research Intern,AI/ML,Mumbai,10000,3,"Deep Learning, NLP, Machine Learning",Onsite,7,Bachelor,Fresher
INT0638,Google,DevOps Intern,DevOps,Mumbai,12000,4,"CI/CD, Kubernetes",Hybrid,9,High School,Fresher
INT0639,Amazon,UI/UX Intern,UI/UX,Kolkata,10000,4,"UI/UX, Prototyping",Hybrid,3,Bachelor,Fresher
INT0640,Wipro,Business Analyst Intern,Business Analytics,Delhi,10000,4,"Communication, Power BI",Onsite,9,Diploma,Fresher
INT0641,Accenture,Data Analyst Intern,Data Science,Remote,12000,4,"Tableau, Statistics, SQL",Remote,9,Bachelor,1-2 Years
INT0642,TCS,AI Research Intern,AI/ML,Delhi,15000,6,"Python, NLP, Deep Learning",Remote,3,Bachelor,Fresher
INT0643,Microsoft,UI/UX Intern,UI/UX,Delhi,5000,5,"Design Thinking, Figma, UI/UX",Remote,4,Diploma,2-4 Years
INT0644,HCL,Data Analyst Intern,Data Science,Remote,10000,1,"Excel, Power BI, Tableau",Onsite,2,Bachelor,Fresher
INT0645,Oracle,Cloud Intern,Cloud Computing,Pune,20000,5,"Terraform, Kubernetes",Remote,9,Bachelor,Fresher
INT0646,Accenture,Web Developer Intern,Web Development,Remote,10000,5,"Bootstrap, REST APIs, React, HTML/CSS/JS",Remote,6,Bachelor,Fresher
INT0647,IBM,Software Engineer Intern,Software Development,Mumbai,10000,4,"Python, Git",Onsite,2,Bachelor,Fresher
INT0648,Amazon,UI/UX Intern,UI/UX,Kolkata,12000,4,"Prototyping, HTML/CSS/JS, User Research",Remote,8,Diploma,Fresher
INT0649,Accenture,ML Engineer Intern,AI/ML,Mumbai,10000,4,"TensorFlow, Machine Learning, Python, Deep Learning",Onsite,3,Master,Fresher
INT0650,TCS,Software Engineer Intern,Software Development,Mumbai,12000,1,"C++, Algorithms",Remote,2,Bachelor,Fresher
INT0651,HCL,ML Engineer Intern,AI/ML,Delhi,20000,4,"Machine Learning, Model Deployment",Onsite,5,Bachelor,1-2 Years
INT0652,Accenture,Data Analyst Intern,Data Science,Delhi,5000,1,"Tableau, Excel",Onsite,10,Bachelor,1-2 Years
INT0653,Oracle,ML Engineer Intern,AI/ML,Hyderabad,20000,4,"PyTorch, Machine Learning, Model Deployment, Deep Learning",Remote,8,Master,Fresher
INT0654,Google,Business Analyst Intern,Business Analytics,Delhi,10000,5,"Requirements Gathering, SQL, Communication",Onsite,8,Bachelor,1-2 Years
INT0655,HCL,Business Analyst Intern,Business Analytics,Bangalore,5000,2,"Communication, Business Analytics, Excel, Power BI",Hybrid,9,High School,Fresher
INT0656,Oracle,UI/UX Intern,UI/UX,Pune,8000,1,"UI/UX, HTML/CSS/JS",Onsite,4,Diploma,1-2 Years
INT0657,Google,ML Engineer Intern,AI/ML,Bangalore,15000,4,"PyTorch, Model Deployment",Remote,8,Bachelor,Fresher
INT0658,Amazon,UI/UX Intern,UI/UX,Hyderabad,5000,1,"User Research, Prototyping, UI/UX",Remote,5,Bachelor,Fresher
INT0659,Accenture,Cybersecurity Intern,Cybersecurity,Delhi,15000,3,"Wireshark, Network Security, Cybersecurity",Onsite,1,Bachelor,Fresher
INT0660,Accenture,Cloud Intern,Cloud Computing,Pune,10000,2,"GCP, Cloud, Kubernetes",Remote,10,Bachelor,Fresher
INT0661,Google,Software Engineer Intern,Software Development,Kolkata,20000,4,"Python, C++, Git",Onsite,1,Bachelor,1-2 Years
INT0662,Infosys,Cybersecurity Intern,Cybersecurity,Remote,15000,2,"Penetration Testing, Cybersecurity, Network Security, Linux",Onsite,7,Bachelor,Fresher
INT0663,Amazon,Web Developer Intern,Web Development,Remote,12000,5,"REST APIs, React, SQL",Onsite,1,High School,Fresher
INT0664,Google,Data Analyst Intern,Data Science,Pune,10000,6,"Pandas, Excel",Onsite,6,Bachelor,Fresher
INT0665,IBM,Web Developer Intern,Web Development,Delhi,5000,4,"REST APIs, SQL, HTML/CSS/JS, React",Remote,3,Diploma,Fresher
